Source User,Category,Count
example_domain\christopher.cruz,social-networking,5
example_domain\christopher.cruz,health-and-medicine,4
example_domain\christopher.cruz,entertainment-and-arts,3
example_domain\christopher.cruz,personal-sites-and-blogs,3
example_domain\christopher.cruz,reference-and-research,3
example_domain\christopher.cruz,motor-vehicles,2
example_domain\christopher.cruz,travel,2
example_domain\christopher.cruz,real-estate,2
example_domain\christopher.cruz,translation,1
example_domain\christopher.cruz,not-resolved,1
example_domain\christopher.cruz,shopping,1
example_domain\marie.jackson,computer-and-internet-info,299599
example_domain\marie.jackson,search-engines,3300
example_domain\marie.jackson,content-delivery-networks,149
example_domain\marie.jackson,business-and-economy,88
example_domain\marie.jackson,stock-advice-and-tools,81
example_domain\marie.jackson,shareware-and-freeware,65
example_domain\marie.jackson,insufficient-content,59
example_domain\marie.jackson,web-advertisements,58
example_domain\marie.jackson,news,10
example_domain\marie.jackson,web-hosting,5
example_domain\marie.jackson,financial-services,2
example_domain\marie.jackson,travel,1
example_domain\marie.jackson,,1
example_domain\marie.jackson,internet-communications-and-telephony,1
example_domain\claire.gregory,computer-and-internet-info,258869
example_domain\claire.gregory,financial-services,12600
example_domain\claire.gregory,business-and-economy,11589
example_domain\claire.gregory,insufficient-content,6715
example_domain\claire.gregory,search-engines,4023
example_domain\claire.gregory,content-delivery-networks,1431
example_domain\claire.gregory,web-advertisements,273
example_domain\claire.gregory,stock-advice-and-tools,240
example_domain\claire.gregory,internet-portals,173
example_domain\claire.gregory,shopping,44
example_domain\claire.gregory,news,13
example_domain\claire.gregory,society,11
example_domain\claire.gregory,job-search,8
example_domain\claire.gregory,,5
example_domain\claire.gregory,web-hosting,2
example_domain\claire.gregory,reference-and-research,2
example_domain\claire.gregory,personal-sites-and-blogs,1
example_domain\claire.gregory,real-estate,1
example_domain\claire.gregory,social-networking,1
example_domain\claire.gregory,internet-communications-and-telephony,1
example_domain\kathy.benton,computer-and-internet-info,256921
example_domain\kathy.benton,reference-and-research,9524
example_domain\kathy.benton,business-and-economy,7143
example_domain\kathy.benton,news,6340
example_domain\kathy.benton,web-advertisements,5012
example_domain\kathy.benton,search-engines,3926
example_domain\kathy.benton,content-delivery-networks,1782
example_domain\kathy.benton,sports,1738
example_domain\kathy.benton,travel,374
example_domain\kathy.benton,financial-services,348
example_domain\kathy.benton,society,242
example_domain\kathy.benton,social-networking,233
example_domain\kathy.benton,stock-advice-and-tools,228
example_domain\kathy.benton,internet-portals,190
example_domain\kathy.benton,streaming-media,179
example_domain\kathy.benton,entertainment-and-arts,128
example_domain\kathy.benton,insufficient-content,83
example_domain\kathy.benton,philosophy-and-political-advocacy,75
example_domain\kathy.benton,health-and-medicine,48
example_domain\kathy.benton,government,41
example_domain\kathy.benton,shopping,36
example_domain\kathy.benton,,23
example_domain\kathy.benton,music,17
example_domain\kathy.benton,personal-sites-and-blogs,13
example_domain\kathy.benton,motor-vehicles,9
example_domain\kathy.benton,shareware-and-freeware,8
example_domain\kathy.benton,training-and-tools,4
example_domain\kathy.benton,not-resolved,4
example_domain\kathy.benton,internet-communications-and-telephony,3
example_domain\kathy.benton,games,2
example_domain\kathy.benton,unknown,2
example_domain\kathy.benton,translation,2
example_domain\kathy.benton,educational-institutions,2
example_domain\kathy.benton,web-hosting,1
example_domain\kathy.benton,legal,1
example_domain\kathy.benton,job-search,1
example_domain\jason.wall,computer-and-internet-info,286445
example_domain\jason.wall,search-engines,4040
example_domain\jason.wall,shopping,1558
example_domain\jason.wall,stock-advice-and-tools,1064
example_domain\jason.wall,content-delivery-networks,353
example_domain\jason.wall,internet-portals,236
example_domain\jason.wall,business-and-economy,124
example_domain\jason.wall,web-advertisements,117
example_domain\jason.wall,shareware-and-freeware,31
example_domain\jason.wall,internet-communications-and-telephony,23
example_domain\jason.wall,religion,20
example_domain\jason.wall,news,19
example_domain\jason.wall,not-resolved,11
example_domain\jason.wall,personal-sites-and-blogs,9
example_domain\jason.wall,training-and-tools,4
example_domain\jason.wall,legal,3
example_domain\jason.wall,government,2
example_domain\jason.wall,web-hosting,1
example_domain\jason.wall,travel,1
example_domain\jason.wall,society,1
example_domain\jason.wall,,1
example_domain\jeremy.reed,computer-and-internet-info,272963
example_domain\jeremy.reed,business-and-economy,6305
example_domain\jeremy.reed,search-engines,4336
example_domain\jeremy.reed,web-advertisements,2175
example_domain\jeremy.reed,job-search,2096
example_domain\jeremy.reed,shopping,1327
example_domain\jeremy.reed,stock-advice-and-tools,932
example_domain\jeremy.reed,content-delivery-networks,745
example_domain\jeremy.reed,internet-communications-and-telephony,620
example_domain\jeremy.reed,educational-institutions,300
example_domain\jeremy.reed,insufficient-content,286
example_domain\jeremy.reed,financial-services,240
example_domain\jeremy.reed,news,189
example_domain\jeremy.reed,internet-portals,146
example_domain\jeremy.reed,web-hosting,118
example_domain\jeremy.reed,government,75
example_domain\jeremy.reed,travel,72
example_domain\jeremy.reed,society,48
example_domain\jeremy.reed,social-networking,33
example_domain\jeremy.reed,music,21
example_domain\jeremy.reed,health-and-medicine,13
example_domain\jeremy.reed,,10
example_domain\jeremy.reed,real-estate,9
example_domain\jeremy.reed,legal,6
example_domain\jeremy.reed,training-and-tools,6
example_domain\jeremy.reed,entertainment-and-arts,5
example_domain\jeremy.reed,reference-and-research,4
example_domain\jeremy.reed,personal-sites-and-blogs,4
example_domain\jeremy.reed,not-resolved,3
example_domain\jeremy.reed,sports,2
example_domain\jeremy.reed,philosophy-and-political-advocacy,1
example_domain\jeremy.reed,streaming-media,1
example_domain\erin.carter,computer-and-internet-info,262125
example_domain\erin.carter,web-advertisements,8673
example_domain\erin.carter,business-and-economy,7617
example_domain\erin.carter,search-engines,5384
example_domain\erin.carter,shopping,2775
example_domain\erin.carter,content-delivery-networks,1575
example_domain\erin.carter,news,1352
example_domain\erin.carter,travel,475
example_domain\erin.carter,internet-portals,362
example_domain\erin.carter,financial-services,130
example_domain\erin.carter,training-and-tools,92
example_domain\erin.carter,music,73
example_domain\erin.carter,real-estate,66
example_domain\erin.carter,stock-advice-and-tools,55
example_domain\erin.carter,society,51
example_domain\erin.carter,social-networking,43
example_domain\erin.carter,entertainment-and-arts,37
example_domain\erin.carter,reference-and-research,36
example_domain\erin.carter,motor-vehicles,31
example_domain\erin.carter,insufficient-content,30
example_domain\erin.carter,internet-communications-and-telephony,24
example_domain\erin.carter,personal-sites-and-blogs,10
example_domain\erin.carter,government,9
example_domain\erin.carter,web-hosting,9
example_domain\erin.carter,translation,6
example_domain\erin.carter,shareware-and-freeware,5
example_domain\erin.carter,streaming-media,3
example_domain\erin.carter,cryptocurrency,3
example_domain\erin.carter,home-and-garden,2
example_domain\erin.carter,not-resolved,2
example_domain\erin.carter,educational-institutions,2
example_domain\erin.carter,job-search,2
example_domain\erin.carter,health-and-medicine,1
example_domain\robert.stein,computer-and-internet-info,270210
example_domain\robert.stein,search-engines,5447
example_domain\robert.stein,business-and-economy,3356
example_domain\robert.stein,internet-portals,2411
example_domain\robert.stein,society,1751
example_domain\robert.stein,web-advertisements,1655
example_domain\robert.stein,content-delivery-networks,702
example_domain\robert.stein,social-networking,533
example_domain\robert.stein,stock-advice-and-tools,126
example_domain\robert.stein,insufficient-content,115
example_domain\robert.stein,travel,112
example_domain\robert.stein,news,78
example_domain\robert.stein,shareware-and-freeware,72
example_domain\robert.stein,entertainment-and-arts,23
example_domain\robert.stein,internet-communications-and-telephony,17
example_domain\robert.stein,sports,13
example_domain\robert.stein,financial-services,12
example_domain\robert.stein,web-hosting,8
example_domain\robert.stein,shopping,4
example_domain\robert.stein,personal-sites-and-blogs,3
example_domain\robert.stein,streaming-media,2
example_domain\robert.stein,educational-institutions,1
example_domain\robert.stein,health-and-medicine,1
example_domain\robert.stein,not-resolved,1
example_domain\robert.downs,computer-and-internet-info,235746
example_domain\robert.downs,business-and-economy,9321
example_domain\robert.downs,search-engines,7139
example_domain\robert.downs,shopping,4852
example_domain\robert.downs,financial-services,4666
example_domain\robert.downs,web-advertisements,3357
example_domain\robert.downs,content-delivery-networks,2027
example_domain\robert.downs,travel,1056
example_domain\robert.downs,society,882
example_domain\robert.downs,social-networking,643
example_domain\robert.downs,stock-advice-and-tools,569
example_domain\robert.downs,internet-portals,536
example_domain\robert.downs,streaming-media,285
example_domain\robert.downs,health-and-medicine,199
example_domain\robert.downs,news,154
example_domain\robert.downs,home-and-garden,103
example_domain\robert.downs,internet-communications-and-telephony,90
example_domain\robert.downs,web-hosting,90
example_domain\robert.downs,entertainment-and-arts,77
example_domain\robert.downs,sports,63
example_domain\robert.downs,real-estate,40
example_domain\robert.downs,reference-and-research,39
example_domain\robert.downs,,33
example_domain\robert.downs,insufficient-content,32
example_domain\robert.downs,job-search,24
example_domain\robert.downs,recreation-and-hobbies,16
example_domain\robert.downs,government,11
example_domain\robert.downs,personal-sites-and-blogs,11
example_domain\robert.downs,translation,9
example_domain\robert.downs,not-resolved,7
example_domain\robert.downs,music,6
example_domain\robert.downs,educational-institutions,5
example_domain\robert.downs,religion,4
example_domain\robert.downs,motor-vehicles,3
example_domain\robert.downs,alcohol-and-tobacco,2
example_domain\teresa.allen,computer-and-internet-info,268598
example_domain\teresa.allen,search-engines,2733
example_domain\teresa.allen,stock-advice-and-tools,112
example_domain\teresa.allen,training-and-tools,87
example_domain\teresa.allen,content-delivery-networks,76
example_domain\teresa.allen,business-and-economy,74
example_domain\teresa.allen,web-advertisements,30
example_domain\teresa.allen,web-hosting,27
example_domain\teresa.allen,financial-services,7
example_domain\teresa.allen,internet-communications-and-telephony,2
example_domain\theresa.martinez,computer-and-internet-info,239036
example_domain\theresa.martinez,business-and-economy,14374
example_domain\theresa.martinez,insufficient-content,6469
example_domain\theresa.martinez,financial-services,6442
example_domain\theresa.martinez,search-engines,3490
example_domain\theresa.martinez,content-delivery-networks,469
example_domain\theresa.martinez,stock-advice-and-tools,251
example_domain\theresa.martinez,internet-portals,190
example_domain\theresa.martinez,web-advertisements,143
example_domain\theresa.martinez,job-search,25
example_domain\theresa.martinez,internet-communications-and-telephony,16
example_domain\theresa.martinez,web-hosting,16
example_domain\theresa.martinez,reference-and-research,10
example_domain\theresa.martinez,news,2
example_domain\theresa.martinez,private-ip-addresses,2
example_domain\theresa.martinez,,1
example_domain\theresa.martinez,streaming-media,1
example_domain\theresa.martinez,not-resolved,1
example_domain\theresa.martinez,translation,1
example_domain\theresa.martinez,training-and-tools,1
example_domain\david.lewis,computer-and-internet-info,260447
example_domain\david.lewis,search-engines,4666
example_domain\david.lewis,business-and-economy,1275
example_domain\david.lewis,web-advertisements,1014
example_domain\david.lewis,content-delivery-networks,617
example_domain\david.lewis,stock-advice-and-tools,463
example_domain\david.lewis,insufficient-content,173
example_domain\david.lewis,shareware-and-freeware,144
example_domain\david.lewis,news,92
example_domain\david.lewis,internet-communications-and-telephony,62
example_domain\david.lewis,internet-portals,32
example_domain\david.lewis,,32
example_domain\david.lewis,reference-and-research,17
example_domain\david.lewis,personal-sites-and-blogs,14
example_domain\david.lewis,training-and-tools,9
example_domain\david.lewis,social-networking,6
example_domain\david.lewis,entertainment-and-arts,6
example_domain\david.lewis,travel,5
example_domain\david.lewis,educational-institutions,3
example_domain\david.lewis,shopping,2
example_domain\david.lewis,financial-services,1
example_domain\david.lewis,games,1
example_domain\david.lewis,music,1
example_domain\david.lewis,job-search,1
example_domain\david.lewis,real-estate,1
example_domain\steven.martinez,computer-and-internet-info,229021
example_domain\steven.martinez,business-and-economy,13164
example_domain\steven.martinez,web-advertisements,8550
example_domain\steven.martinez,search-engines,5231
example_domain\steven.martinez,content-delivery-networks,3498
example_domain\steven.martinez,insufficient-content,1434
example_domain\steven.martinez,internet-portals,1096
example_domain\steven.martinez,entertainment-and-arts,245
example_domain\steven.martinez,personal-sites-and-blogs,140
example_domain\steven.martinez,shareware-and-freeware,129
example_domain\steven.martinez,stock-advice-and-tools,117
example_domain\steven.martinez,news,57
example_domain\steven.martinez,job-search,21
example_domain\steven.martinez,shopping,16
example_domain\steven.martinez,streaming-media,15
example_domain\steven.martinez,society,15
example_domain\steven.martinez,training-and-tools,9
example_domain\steven.martinez,music,9
example_domain\steven.martinez,internet-communications-and-telephony,8
example_domain\steven.martinez,social-networking,6
example_domain\steven.martinez,not-resolved,6
example_domain\steven.martinez,games,5
example_domain\steven.martinez,,3
example_domain\steven.martinez,travel,3
example_domain\steven.martinez,reference-and-research,2
example_domain\steven.martinez,motor-vehicles,2
example_domain\steven.martinez,health-and-medicine,1
example_domain\steven.martinez,educational-institutions,1
example_domain\steven.martinez,financial-services,1
example_domain\karen.peters,computer-and-internet-info,257048
example_domain\karen.peters,search-engines,2636
example_domain\karen.peters,internet-portals,305
example_domain\karen.peters,content-delivery-networks,141
example_domain\karen.peters,web-advertisements,112
example_domain\karen.peters,business-and-economy,39
example_domain\karen.peters,stock-advice-and-tools,37
example_domain\karen.peters,internet-communications-and-telephony,21
example_domain\karen.peters,news,12
example_domain\karen.peters,training-and-tools,9
example_domain\karen.peters,shareware-and-freeware,3
example_domain\karen.peters,entertainment-and-arts,1
example_domain\karen.peters,translation,1
example_domain\karen.peters,financial-services,1
example_domain\gail.smith,computer-and-internet-info,250617
example_domain\gail.smith,business-and-economy,5770
example_domain\gail.smith,search-engines,2507
example_domain\gail.smith,content-delivery-networks,103
example_domain\gail.smith,news,72
example_domain\gail.smith,stock-advice-and-tools,24
example_domain\gail.smith,society,3
example_domain\gail.smith,web-advertisements,3
example_domain\gail.smith,motor-vehicles,2
example_domain\gail.smith,web-hosting,1
example_domain\gail.smith,translation,1
example_domain\adam.garrett,computer-and-internet-info,150571
example_domain\adam.garrett,web-advertisements,81038
example_domain\adam.garrett,business-and-economy,18560
example_domain\adam.garrett,search-engines,2397
example_domain\adam.garrett,content-delivery-networks,1721
example_domain\adam.garrett,stock-advice-and-tools,1454
example_domain\adam.garrett,financial-services,1036
example_domain\adam.garrett,internet-portals,452
example_domain\adam.garrett,news,263
example_domain\adam.garrett,shopping,175
example_domain\adam.garrett,travel,149
example_domain\adam.garrett,society,109
example_domain\adam.garrett,social-networking,48
example_domain\adam.garrett,health-and-medicine,48
example_domain\adam.garrett,web-hosting,47
example_domain\adam.garrett,legal,47
example_domain\adam.garrett,reference-and-research,42
example_domain\adam.garrett,music,31
example_domain\adam.garrett,internet-communications-and-telephony,30
example_domain\adam.garrett,insufficient-content,29
example_domain\adam.garrett,training-and-tools,28
example_domain\adam.garrett,personal-sites-and-blogs,23
example_domain\adam.garrett,job-search,18
example_domain\adam.garrett,entertainment-and-arts,17
example_domain\adam.garrett,games,11
example_domain\adam.garrett,motor-vehicles,9
example_domain\adam.garrett,streaming-media,6
example_domain\adam.garrett,government,4
example_domain\adam.garrett,sports,3
example_domain\adam.garrett,not-resolved,2
example_domain\adam.garrett,translation,1
example_domain\danny.macdonald,computer-and-internet-info,245553
example_domain\danny.macdonald,web-advertisements,4788
example_domain\danny.macdonald,search-engines,3643
example_domain\danny.macdonald,business-and-economy,2762
example_domain\danny.macdonald,content-delivery-networks,499
example_domain\danny.macdonald,insufficient-content,173
example_domain\danny.macdonald,stock-advice-and-tools,98
example_domain\danny.macdonald,shareware-and-freeware,66
example_domain\danny.macdonald,translation,48
example_domain\danny.macdonald,,40
example_domain\danny.macdonald,internet-portals,24
example_domain\danny.macdonald,entertainment-and-arts,20
example_domain\danny.macdonald,news,17
example_domain\danny.macdonald,music,10
example_domain\danny.macdonald,web-hosting,4
example_domain\danny.macdonald,personal-sites-and-blogs,4
example_domain\danny.macdonald,shopping,3
example_domain\danny.macdonald,travel,3
example_domain\danny.macdonald,society,2
example_domain\danny.macdonald,reference-and-research,2
example_domain\danny.macdonald,philosophy-and-political-advocacy,1
example_domain\danny.macdonald,internet-communications-and-telephony,1
example_domain\danny.macdonald,motor-vehicles,1
example_domain\danny.macdonald,job-search,1
example_domain\danny.macdonald,not-resolved,1
example_domain\danny.macdonald,health-and-medicine,1
example_domain\stephen.jackson,computer-and-internet-info,243903
example_domain\stephen.jackson,financial-services,7210
example_domain\stephen.jackson,search-engines,4220
example_domain\stephen.jackson,business-and-economy,1129
example_domain\stephen.jackson,content-delivery-networks,198
example_domain\stephen.jackson,stock-advice-and-tools,192
example_domain\stephen.jackson,web-advertisements,55
example_domain\stephen.jackson,web-hosting,11
example_domain\stephen.jackson,shareware-and-freeware,10
example_domain\stephen.jackson,,8
example_domain\stephen.jackson,internet-portals,5
example_domain\stephen.jackson,news,4
example_domain\stephen.jackson,internet-communications-and-telephony,3
example_domain\stephen.jackson,reference-and-research,2
example_domain\stephen.jackson,BOX,1
example_domain\teresa.delacruz,computer-and-internet-info,251203
example_domain\teresa.delacruz,search-engines,2823
example_domain\teresa.delacruz,business-and-economy,182
example_domain\teresa.delacruz,content-delivery-networks,139
example_domain\teresa.delacruz,stock-advice-and-tools,85
example_domain\teresa.delacruz,web-advertisements,20
example_domain\teresa.delacruz,news,10
example_domain\teresa.delacruz,internet-communications-and-telephony,6
example_domain\teresa.delacruz,reference-and-research,4
example_domain\teresa.delacruz,social-networking,2
example_domain\teresa.delacruz,streaming-media,1
example_domain\teresa.delacruz,health-and-medicine,1
example_domain\michael.liu,computer-and-internet-info,246641
example_domain\michael.liu,search-engines,3425
example_domain\michael.liu,content-delivery-networks,1136
example_domain\michael.liu,stock-advice-and-tools,1003
example_domain\michael.liu,business-and-economy,948
example_domain\michael.liu,web-advertisements,660
example_domain\michael.liu,shareware-and-freeware,103
example_domain\michael.liu,insufficient-content,102
example_domain\michael.liu,personal-sites-and-blogs,53
example_domain\michael.liu,news,30
example_domain\michael.liu,games,14
example_domain\michael.liu,internet-portals,9
example_domain\michael.liu,,5
example_domain\michael.liu,travel,4
example_domain\michael.liu,educational-institutions,2
example_domain\michael.liu,reference-and-research,2
example_domain\michael.liu,internet-communications-and-telephony,2
example_domain\michael.liu,streaming-media,1
example_domain\michael.liu,not-resolved,1
example_domain\michael.liu,shopping,1
example_domain\michael.liu,financial-services,1
example_domain\nichole.kim,computer-and-internet-info,223377
example_domain\nichole.kim,business-and-economy,17185
example_domain\nichole.kim,search-engines,5287
example_domain\nichole.kim,web-advertisements,2401
example_domain\nichole.kim,travel,2389
example_domain\nichole.kim,content-delivery-networks,1085
example_domain\nichole.kim,training-and-tools,564
example_domain\nichole.kim,shopping,492
example_domain\nichole.kim,financial-services,348
example_domain\nichole.kim,society,283
example_domain\nichole.kim,stock-advice-and-tools,151
example_domain\nichole.kim,news,58
example_domain\nichole.kim,internet-portals,46
example_domain\nichole.kim,streaming-media,37
example_domain\nichole.kim,internet-communications-and-telephony,26
example_domain\nichole.kim,personal-sites-and-blogs,20
example_domain\nichole.kim,philosophy-and-political-advocacy,18
example_domain\nichole.kim,reference-and-research,18
example_domain\nichole.kim,social-networking,18
example_domain\nichole.kim,sports,18
example_domain\nichole.kim,entertainment-and-arts,15
example_domain\nichole.kim,government,9
example_domain\nichole.kim,motor-vehicles,8
example_domain\nichole.kim,health-and-medicine,7
example_domain\nichole.kim,insufficient-content,6
example_domain\nichole.kim,translation,5
example_domain\nichole.kim,music,5
example_domain\nichole.kim,web-hosting,3
example_domain\nichole.kim,,2
example_domain\nichole.kim,games,2
example_domain\nichole.kim,not-resolved,2
example_domain\nichole.kim,shareware-and-freeware,2
example_domain\nichole.kim,religion,1
example_domain\joshua.haney,computer-and-internet-info,241456
example_domain\joshua.haney,business-and-economy,4871
example_domain\joshua.haney,search-engines,2924
example_domain\joshua.haney,web-advertisements,2668
example_domain\joshua.haney,entertainment-and-arts,400
example_domain\joshua.haney,content-delivery-networks,243
example_domain\joshua.haney,stock-advice-and-tools,237
example_domain\joshua.haney,society,32
example_domain\joshua.haney,travel,30
example_domain\joshua.haney,news,24
example_domain\joshua.haney,shopping,8
example_domain\joshua.haney,insufficient-content,8
example_domain\joshua.haney,BOX,6
example_domain\joshua.haney,internet-portals,5
example_domain\joshua.haney,reference-and-research,4
