Source User,Category,Verdict,AD Group,Count
example_domain\benjamin.wright,web-advertisements,The URL category is going to be allowed provided the user is authenticated,known-user,1533
example_domain\benjamin.wright,content-delivery-networks,The URL category is going to be allowed provided the user is authenticated,known-user,933
example_domain\benjamin.wright,shareware-and-freeware,The URL category is going to be allowed provided the user is authenticated,known-user,776
example_domain\benjamin.wright,internet-portals,The URL category is going to be allowed provided the user is authenticated,known-user,264
example_domain\benjamin.wright,stock-advice-and-tools,The URL category is going to be allowed provided the user is authenticated,known-user,165
example_domain\benjamin.wright,shopping,The URL category is going to be allowed provided the user is authenticated,known-user,164
example_domain\benjamin.wright,web-hosting,The URL category is going to be allowed provided the user is authenticated,known-user,140
example_domain\benjamin.wright,personal-sites-and-blogs,The URL category is going to be allowed provided the user is authenticated,known-user,46
example_domain\benjamin.wright,reference-and-research,The URL category is going to be allowed provided the user is authenticated,known-user,40
example_domain\benjamin.wright,translation,The URL category is going to be allowed provided the user is authenticated,known-user,30
example_domain\benjamin.wright,news,The URL category is going to be allowed provided the user is authenticated,known-user,27
example_domain\benjamin.wright,insufficient-content,The URL category is going to be allowed provided the user is authenticated,known-user,12
example_domain\benjamin.wright,recreation-and-hobbies,The URL category is going to be allowed provided the user is authenticated,known-user,10
example_domain\benjamin.wright,not-resolved,The URL category is going to be allowed provided the user is authenticated,known-user,9
example_domain\benjamin.wright,travel,The URL category is going to be allowed provided the user is authenticated,known-user,5
example_domain\benjamin.wright,society,The URL category is going to be allowed provided the user is authenticated,known-user,4
example_domain\benjamin.wright,training-and-tools,The URL category is going to be allowed provided the user is authenticated,known-user,4
example_domain\benjamin.wright,motor-vehicles,The URL category is going to be allowed provided the user is authenticated,known-user,3
example_domain\benjamin.wright,streaming-media,The URL category is going to be allowed provided the user is authenticated,known-user,2
example_domain\benjamin.wright,job-search,The URL category is going to be allowed provided the user is authenticated,known-user,2
example_domain\benjamin.wright,internet-communications-and-telephony,The URL category is going to be allowed provided the user is authenticated,known-user,2
example_domain\benjamin.wright,games,The URL category is going to be allowed provided the user is authenticated,known-user,2
example_domain\benjamin.wright,entertainment-and-arts,The URL category is going to be allowed provided the user is authenticated,known-user,2
example_domain\benjamin.wright,social-networking,The URL category is going to be allowed provided the user is authenticated,known-user,1
example_domain\benjamin.wright,music,The URL category is going to be allowed provided the user is authenticated,known-user,1
example_domain\benjamin.wright,private-ip-addresses,The URL category is going to be allowed provided the user is authenticated,known-user,1
example_domain\mark.rodriguez,computer-and-internet-info,The URL category is going to be allowed provided the user is authenticated,known-user,314019
example_domain\mark.rodriguez,search-engines,The URL category is going to be allowed provided the user is authenticated,known-user,3235
example_domain\mark.rodriguez,insufficient-content,The URL category is going to be allowed provided the user is authenticated,known-user,1603
example_domain\mark.rodriguez,business-and-economy,The URL category is going to be allowed provided the user is authenticated,known-user,1158
example_domain\mark.rodriguez,stock-advice-and-tools,The URL category is going to be allowed provided the user is authenticated,known-user,876
example_domain\mark.rodriguez,content-delivery-networks,The URL category is going to be allowed provided the user is authenticated,known-user,269
example_domain\mark.rodriguez,internet-portals,The URL category is going to be allowed provided the user is authenticated,known-user,84
example_domain\mark.rodriguez,,The category is not a standard Palo Alto content/function-based category,irrelevant,61
example_domain\mark.rodriguez,financial-services,The URL category is going to be allowed provided the user is authenticated,known-user,54
example_domain\mark.rodriguez,web-advertisements,The URL category is going to be allowed provided the user is authenticated,known-user,38
example_domain\mark.rodriguez,internet-communications-and-telephony,The URL category is going to be allowed provided the user is authenticated,known-user,37
example_domain\mark.rodriguez,web-hosting,The URL category is going to be allowed provided the user is authenticated,known-user,18
example_domain\mark.rodriguez,shareware-and-freeware,The URL category is going to be allowed provided the user is authenticated,known-user,15
example_domain\mark.rodriguez,news,The URL category is going to be allowed provided the user is authenticated,known-user,3
example_domain\mark.rodriguez,training-and-tools,The URL category is going to be allowed provided the user is authenticated,known-user,2
example_domain\mark.rodriguez,reference-and-research,The URL category is going to be allowed provided the user is authenticated,known-user,1
example_domain\dylan.cole,computer-and-internet-info,The URL category is going to be allowed provided the user is authenticated,known-user,271747
example_domain\dylan.cole,web-advertisements,The URL category is going to be allowed provided the user is authenticated,known-user,15064
example_domain\dylan.cole,business-and-economy,The URL category is going to be allowed provided the user is authenticated,known-user,11154
example_domain\dylan.cole,search-engines,The URL category is going to be allowed provided the user is authenticated,known-user,6559
example_domain\dylan.cole,financial-services,The URL category is going to be allowed provided the user is authenticated,known-user,4739
example_domain\dylan.cole,content-delivery-networks,The URL category is going to be allowed provided the user is authenticated,known-user,1848
example_domain\dylan.cole,news,The URL category is going to be allowed provided the user is authenticated,known-user,1270
example_domain\dylan.cole,internet-portals,The URL category is going to be allowed provided the user is authenticated,known-user,1243
example_domain\dylan.cole,insufficient-content,The URL category is going to be allowed provided the user is authenticated,known-user,689
example_domain\dylan.cole,stock-advice-and-tools,The URL category is going to be allowed provided the user is authenticated,known-user,590
example_domain\dylan.cole,job-search,The URL category is going to be allowed provided the user is authenticated,known-user,301
example_domain\dylan.cole,shopping,The URL category is going to be allowed provided the user is authenticated,known-user,74
example_domain\dylan.cole,music,The URL category is going to be allowed provided the user is authenticated,known-user,56
example_domain\dylan.cole,reference-and-research,The URL category is going to be allowed provided the user is authenticated,known-user,51
example_domain\dylan.cole,entertainment-and-arts,The URL category is going to be allowed provided the user is authenticated,known-user,47
example_domain\dylan.cole,travel,The URL category is going to be allowed provided the user is authenticated,known-user,46
example_domain\dylan.cole,internet-communications-and-telephony,The URL category is going to be allowed provided the user is authenticated,known-user,39
example_domain\dylan.cole,training-and-tools,The URL category is going to be allowed provided the user is authenticated,known-user,32
example_domain\dylan.cole,streaming-media,The URL category is going to be allowed provided the user is authenticated,known-user,24
example_domain\dylan.cole,personal-sites-and-blogs,The URL category is going to be allowed provided the user is authenticated,known-user,11
example_domain\dylan.cole,motor-vehicles,The URL category is going to be allowed provided the user is authenticated,known-user,10
example_domain\dylan.cole,real-estate,The URL category is going to be allowed provided the user is authenticated,known-user,5
example_domain\dylan.cole,not-resolved,The URL category is going to be allowed provided the user is authenticated,known-user,5
example_domain\dylan.cole,sports,The URL category is going to be allowed provided the user is authenticated,known-user,4
example_domain\dylan.cole,society,The URL category is going to be allowed provided the user is authenticated,known-user,4
example_domain\dylan.cole,web-hosting,The URL category is going to be allowed provided the user is authenticated,known-user,3
example_domain\dylan.cole,educational-institutions,The URL category is going to be allowed provided the user is authenticated,known-user,3
example_domain\dylan.cole,government,The URL category is going to be allowed provided the user is authenticated,known-user,3
example_domain\dylan.cole,translation,The URL category is going to be allowed provided the user is authenticated,known-user,2
example_domain\dylan.cole,legal,The URL category is going to be allowed provided the user is authenticated,known-user,2
example_domain\dylan.cole,health-and-medicine,The URL category is going to be allowed provided the user is authenticated,known-user,1
example_domain\dylan.cole,,The category is not a standard Palo Alto content/function-based category,irrelevant,1
example_domain\dylan.cole,shareware-and-freeware,The URL category is going to be allowed provided the user is authenticated,known-user,1
example_domain\timothy.mckay,computer-and-internet-info,The URL category is going to be allowed provided the user is authenticated,known-user,283869
example_domain\timothy.mckay,web-advertisements,The URL category is going to be allowed provided the user is authenticated,known-user,8223
example_domain\timothy.mckay,business-and-economy,The URL category is going to be allowed provided the user is authenticated,known-user,7004
example_domain\timothy.mckay,search-engines,The URL category is going to be allowed provided the user is authenticated,known-user,4267
example_domain\timothy.mckay,content-delivery-networks,The URL category is going to be allowed provided the user is authenticated,known-user,1211
example_domain\timothy.mckay,stock-advice-and-tools,The URL category is going to be allowed provided the user is authenticated,known-user,712
example_domain\timothy.mckay,internet-portals,The URL category is going to be allowed provided the user is authenticated,known-user,236
example_domain\timothy.mckay,training-and-tools,The URL category is going to be allowed provided the user is authenticated,known-user,179
example_domain\timothy.mckay,streaming-media,The URL category is going to be allowed provided the user is authenticated,known-user,178
example_domain\timothy.mckay,news,The URL category is going to be allowed provided the user is authenticated,known-user,119
example_domain\timothy.mckay,insufficient-content,The URL category is going to be allowed provided the user is authenticated,known-user,108
example_domain\timothy.mckay,society,The URL category is going to be allowed provided the user is authenticated,known-user,96
example_domain\timothy.mckay,music,The URL category is going to be allowed provided the user is authenticated,known-user,64
example_domain\timothy.mckay,games,The URL category is going to be allowed provided the user is authenticated,known-user,52
example_domain\timothy.mckay,internet-communications-and-telephony,The URL category is going to be allowed provided the user is authenticated,known-user,43
example_domain\timothy.mckay,motor-vehicles,The URL category is going to be allowed provided the user is authenticated,known-user,39
example_domain\timothy.mckay,shopping,The URL category is going to be allowed provided the user is authenticated,known-user,29
example_domain\timothy.mckay,personal-sites-and-blogs,The URL category is going to be allowed provided the user is authenticated,known-user,28
example_domain\timothy.mckay,shareware-and-freeware,The URL category is going to be allowed provided the user is authenticated,known-user,23
example_domain\timothy.mckay,reference-and-research,The URL category is going to be allowed provided the user is authenticated,known-user,13
example_domain\timothy.mckay,travel,The URL category is going to be allowed provided the user is authenticated,known-user,12
example_domain\timothy.mckay,entertainment-and-arts,The URL category is going to be allowed provided the user is authenticated,known-user,10
example_domain\timothy.mckay,financial-services,The URL category is going to be allowed provided the user is authenticated,known-user,8
example_domain\timothy.mckay,parked,The URL category is going to be blocked,irrelevant,2
example_domain\timothy.mckay,job-search,The URL category is going to be allowed provided the user is authenticated,known-user,2
example_domain\timothy.mckay,web-hosting,The URL category is going to be allowed provided the user is authenticated,known-user,2
example_domain\timothy.mckay,health-and-medicine,The URL category is going to be allowed provided the user is authenticated,known-user,2
example_domain\timothy.mckay,legal,The URL category is going to be allowed provided the user is authenticated,known-user,2
example_domain\timothy.mckay,philosophy-and-political-advocacy,The URL category is going to be allowed provided the user is authenticated,known-user,1
example_domain\timothy.mckay,real-estate,The URL category is going to be allowed provided the user is authenticated,known-user,1
example_domain\timothy.mckay,educational-institutions,The URL category is going to be allowed provided the user is authenticated,known-user,1
example_domain\christopher.cruz,computer-and-internet-info,The URL category is going to be allowed provided the user is authenticated,known-user,291488
example_domain\christopher.cruz,business-and-economy,The URL category is going to be allowed provided the user is authenticated,known-user,6503
example_domain\christopher.cruz,search-engines,The URL category is going to be allowed provided the user is authenticated,known-user,4717
example_domain\christopher.cruz,internet-portals,The URL category is going to be allowed provided the user is authenticated,known-user,548
example_domain\christopher.cruz,content-delivery-networks,The URL category is going to be allowed provided the user is authenticated,known-user,530
example_domain\christopher.cruz,web-advertisements,The URL category is going to be allowed provided the user is authenticated,known-user,394
example_domain\christopher.cruz,stock-advice-and-tools,The URL category is going to be allowed provided the user is authenticated,known-user,167
example_domain\christopher.cruz,financial-services,The URL category is going to be allowed provided the user is authenticated,known-user,84
example_domain\christopher.cruz,news,The URL category is going to be allowed provided the user is authenticated,known-user,51
example_domain\christopher.cruz,web-hosting,The URL category is going to be allowed provided the user is authenticated,known-user,27
example_domain\christopher.cruz,,The category is not a standard Palo Alto content/function-based category,irrelevant,24
example_domain\christopher.cruz,internet-communications-and-telephony,The URL category is going to be allowed provided the user is authenticated,known-user,22
example_domain\christopher.cruz,government,The URL category is going to be allowed provided the user is authenticated,known-user,15
example_domain\christopher.cruz,training-and-tools,The URL category is going to be allowed provided the user is authenticated,known-user,10
example_domain\christopher.cruz,insufficient-content,The URL category is going to be allowed provided the user is authenticated,known-user,8
example_domain\christopher.cruz,society,The URL category is going to be allowed provided the user is authenticated,known-user,7
example_domain\christopher.cruz,legal,The URL category is going to be allowed provided the user is authenticated,known-user,6
example_domain\christopher.cruz,social-networking,The URL category is going to be allowed provided the user is authenticated,known-user,5
example_domain\christopher.cruz,health-and-medicine,The URL category is going to be allowed provided the user is authenticated,known-user,4
example_domain\christopher.cruz,entertainment-and-arts,The URL category is going to be allowed provided the user is authenticated,known-user,3
example_domain\christopher.cruz,personal-sites-and-blogs,The URL category is going to be allowed provided the user is authenticated,known-user,3
example_domain\christopher.cruz,reference-and-research,The URL category is going to be allowed provided the user is authenticated,known-user,3
example_domain\christopher.cruz,motor-vehicles,The URL category is going to be allowed provided the user is authenticated,known-user,2
example_domain\christopher.cruz,travel,The URL category is going to be allowed provided the user is authenticated,known-user,2
example_domain\christopher.cruz,real-estate,The URL category is going to be allowed provided the user is authenticated,known-user,2
example_domain\christopher.cruz,translation,The URL category is going to be allowed provided the user is authenticated,known-user,1
example_domain\christopher.cruz,not-resolved,The URL category is going to be allowed provided the user is authenticated,known-user,1
example_domain\christopher.cruz,shopping,The URL category is going to be allowed provided the user is authenticated,known-user,1
example_domain\marie.jackson,computer-and-internet-info,The URL category is going to be allowed provided the user is authenticated,known-user,299599
example_domain\marie.jackson,search-engines,The URL category is going to be allowed provided the user is authenticated,known-user,3300
example_domain\marie.jackson,content-delivery-networks,The URL category is going to be allowed provided the user is authenticated,known-user,149
example_domain\marie.jackson,business-and-economy,The URL category is going to be allowed provided the user is authenticated,known-user,88
example_domain\marie.jackson,stock-advice-and-tools,The URL category is going to be allowed provided the user is authenticated,known-user,81
example_domain\marie.jackson,shareware-and-freeware,The URL category is going to be allowed provided the user is authenticated,known-user,65
example_domain\marie.jackson,insufficient-content,The URL category is going to be allowed provided the user is authenticated,known-user,59
example_domain\marie.jackson,web-advertisements,The URL category is going to be allowed provided the user is authenticated,known-user,58
example_domain\marie.jackson,news,The URL category is going to be allowed provided the user is authenticated,known-user,10
example_domain\marie.jackson,web-hosting,The URL category is going to be allowed provided the user is authenticated,known-user,5
example_domain\marie.jackson,financial-services,The URL category is going to be allowed provided the user is authenticated,known-user,2
example_domain\marie.jackson,travel,The URL category is going to be allowed provided the user is authenticated,known-user,1
example_domain\marie.jackson,,The category is not a standard Palo Alto content/function-based category,irrelevant,1
example_domain\marie.jackson,internet-communications-and-telephony,The URL category is going to be allowed provided the user is authenticated,known-user,1
example_domain\claire.gregory,computer-and-internet-info,The URL category is going to be allowed provided the user is authenticated,known-user,258869
example_domain\claire.gregory,financial-services,The URL category is going to be allowed provided the user is authenticated,known-user,12600
example_domain\claire.gregory,business-and-economy,The URL category is going to be allowed provided the user is authenticated,known-user,11589
example_domain\claire.gregory,insufficient-content,The URL category is going to be allowed provided the user is authenticated,known-user,6715
example_domain\claire.gregory,search-engines,The URL category is going to be allowed provided the user is authenticated,known-user,4023
example_domain\claire.gregory,content-delivery-networks,The URL category is going to be allowed provided the user is authenticated,known-user,1431
example_domain\claire.gregory,web-advertisements,The URL category is going to be allowed provided the user is authenticated,known-user,273
example_domain\claire.gregory,stock-advice-and-tools,The URL category is going to be allowed provided the user is authenticated,known-user,240
example_domain\claire.gregory,internet-portals,The URL category is going to be allowed provided the user is authenticated,known-user,173
example_domain\claire.gregory,shopping,The URL category is going to be allowed provided the user is authenticated,known-user,44
example_domain\claire.gregory,news,The URL category is going to be allowed provided the user is authenticated,known-user,13
example_domain\claire.gregory,society,The URL category is going to be allowed provided the user is authenticated,known-user,11
example_domain\claire.gregory,job-search,The URL category is going to be allowed provided the user is authenticated,known-user,8
example_domain\claire.gregory,,The category is not a standard Palo Alto content/function-based category,irrelevant,5
example_domain\claire.gregory,web-hosting,The URL category is going to be allowed provided the user is authenticated,known-user,2
example_domain\claire.gregory,reference-and-research,The URL category is going to be allowed provided the user is authenticated,known-user,2
example_domain\claire.gregory,personal-sites-and-blogs,The URL category is going to be allowed provided the user is authenticated,known-user,1
example_domain\claire.gregory,real-estate,The URL category is going to be allowed provided the user is authenticated,known-user,1
example_domain\claire.gregory,social-networking,The URL category is going to be allowed provided the user is authenticated,known-user,1
example_domain\claire.gregory,internet-communications-and-telephony,The URL category is going to be allowed provided the user is authenticated,known-user,1
example_domain\kathy.benton,computer-and-internet-info,The URL category is going to be allowed provided the user is authenticated,known-user,256921
example_domain\kathy.benton,reference-and-research,The URL category is going to be allowed provided the user is authenticated,known-user,9524
example_domain\kathy.benton,business-and-economy,The URL category is going to be allowed provided the user is authenticated,known-user,7143
example_domain\kathy.benton,news,The URL category is going to be allowed provided the user is authenticated,known-user,6340
example_domain\kathy.benton,web-advertisements,The URL category is going to be allowed provided the user is authenticated,known-user,5012
example_domain\kathy.benton,search-engines,The URL category is going to be allowed provided the user is authenticated,known-user,3926
example_domain\kathy.benton,content-delivery-networks,The URL category is going to be allowed provided the user is authenticated,known-user,1782
example_domain\kathy.benton,sports,The URL category is going to be allowed provided the user is authenticated,known-user,1738
example_domain\kathy.benton,travel,The URL category is going to be allowed provided the user is authenticated,known-user,374
example_domain\kathy.benton,financial-services,The URL category is going to be allowed provided the user is authenticated,known-user,348
example_domain\kathy.benton,society,The URL category is going to be allowed provided the user is authenticated,known-user,242
example_domain\kathy.benton,social-networking,The URL category is going to be allowed provided the user is authenticated,known-user,233
example_domain\kathy.benton,stock-advice-and-tools,The URL category is going to be allowed provided the user is authenticated,known-user,228
example_domain\kathy.benton,internet-portals,The URL category is going to be allowed provided the user is authenticated,known-user,190
example_domain\kathy.benton,streaming-media,The URL category is going to be allowed provided the user is authenticated,known-user,179
example_domain\kathy.benton,entertainment-and-arts,The URL category is going to be allowed provided the user is authenticated,known-user,128
example_domain\kathy.benton,insufficient-content,The URL category is going to be allowed provided the user is authenticated,known-user,83
example_domain\kathy.benton,philosophy-and-political-advocacy,The URL category is going to be allowed provided the user is authenticated,known-user,75
example_domain\kathy.benton,health-and-medicine,The URL category is going to be allowed provided the user is authenticated,known-user,48
example_domain\kathy.benton,government,The URL category is going to be allowed provided the user is authenticated,known-user,41
example_domain\kathy.benton,shopping,The URL category is going to be allowed provided the user is authenticated,known-user,36
example_domain\kathy.benton,,The category is not a standard Palo Alto content/function-based category,irrelevant,23
example_domain\kathy.benton,music,The URL category is going to be allowed provided the user is authenticated,known-user,17
example_domain\kathy.benton,personal-sites-and-blogs,The URL category is going to be allowed provided the user is authenticated,known-user,13
example_domain\kathy.benton,motor-vehicles,The URL category is going to be allowed provided the user is authenticated,known-user,9
example_domain\kathy.benton,shareware-and-freeware,The URL category is going to be allowed provided the user is authenticated,known-user,8
example_domain\kathy.benton,training-and-tools,The URL category is going to be allowed provided the user is authenticated,known-user,4
example_domain\kathy.benton,not-resolved,The URL category is going to be allowed provided the user is authenticated,known-user,4
example_domain\kathy.benton,internet-communications-and-telephony,The URL category is going to be allowed provided the user is authenticated,known-user,3
example_domain\kathy.benton,games,The URL category is going to be allowed provided the user is authenticated,known-user,2
example_domain\kathy.benton,unknown,The URL category is going to be allowed provided the user is in the respective AD group,UG-unknown,2
example_domain\kathy.benton,translation,The URL category is going to be allowed provided the user is authenticated,known-user,2
example_domain\kathy.benton,educational-institutions,The URL category is going to be allowed provided the user is authenticated,known-user,2
example_domain\kathy.benton,web-hosting,The URL category is going to be allowed provided the user is authenticated,known-user,1
example_domain\kathy.benton,legal,The URL category is going to be allowed provided the user is authenticated,known-user,1
example_domain\kathy.benton,job-search,The URL category is going to be allowed provided the user is authenticated,known-user,1
example_domain\jason.wall,computer-and-internet-info,The URL category is going to be allowed provided the user is authenticated,known-user,286445
example_domain\jason.wall,search-engines,The URL category is going to be allowed provided the user is authenticated,known-user,4040
example_domain\jason.wall,shopping,The URL category is going to be allowed provided the user is authenticated,known-user,1558
example_domain\jason.wall,stock-advice-and-tools,The URL category is going to be allowed provided the user is authenticated,known-user,1064
example_domain\jason.wall,content-delivery-networks,The URL category is going to be allowed provided the user is authenticated,known-user,353
example_domain\jason.wall,internet-portals,The URL category is going to be allowed provided the user is authenticated,known-user,236
example_domain\jason.wall,business-and-economy,The URL category is going to be allowed provided the user is authenticated,known-user,124
example_domain\jason.wall,web-advertisements,The URL category is going to be allowed provided the user is authenticated,known-user,117
example_domain\jason.wall,shareware-and-freeware,The URL category is going to be allowed provided the user is authenticated,known-user,31
example_domain\jason.wall,internet-communications-and-telephony,The URL category is going to be allowed provided the user is authenticated,known-user,23
example_domain\jason.wall,religion,The URL category is going to be allowed provided the user is authenticated,known-user,20
example_domain\jason.wall,news,The URL category is going to be allowed provided the user is authenticated,known-user,19
example_domain\jason.wall,not-resolved,The URL category is going to be allowed provided the user is authenticated,known-user,11
example_domain\jason.wall,personal-sites-and-blogs,The URL category is going to be allowed provided the user is authenticated,known-user,9
example_domain\jason.wall,training-and-tools,The URL category is going to be allowed provided the user is authenticated,known-user,4
example_domain\jason.wall,legal,The URL category is going to be allowed provided the user is authenticated,known-user,3
example_domain\jason.wall,government,The URL category is going to be allowed provided the user is authenticated,known-user,2
example_domain\jason.wall,web-hosting,The URL category is going to be allowed provided the user is authenticated,known-user,1
example_domain\jason.wall,travel,The URL category is going to be allowed provided the user is authenticated,known-user,1
example_domain\jason.wall,society,The URL category is going to be allowed provided the user is authenticated,known-user,1
example_domain\jason.wall,,The category is not a standard Palo Alto content/function-based category,irrelevant,1
example_domain\jeremy.reed,computer-and-internet-info,The URL category is going to be allowed provided the user is authenticated,known-user,272963
example_domain\jeremy.reed,business-and-economy,The URL category is going to be allowed provided the user is authenticated,known-user,6305
example_domain\jeremy.reed,search-engines,The URL category is going to be allowed provided the user is authenticated,known-user,4336
example_domain\jeremy.reed,web-advertisements,The URL category is going to be allowed provided the user is authenticated,known-user,2175
example_domain\jeremy.reed,job-search,The URL category is going to be allowed provided the user is authenticated,known-user,2096
example_domain\jeremy.reed,shopping,The URL category is going to be allowed provided the user is authenticated,known-user,1327
example_domain\jeremy.reed,stock-advice-and-tools,The URL category is going to be allowed provided the user is authenticated,known-user,932
example_domain\jeremy.reed,content-delivery-networks,The URL category is going to be allowed provided the user is authenticated,known-user,745
example_domain\jeremy.reed,internet-communications-and-telephony,The URL category is going to be allowed provided the user is authenticated,known-user,620
example_domain\jeremy.reed,educational-institutions,The URL category is going to be allowed provided the user is authenticated,known-user,300
example_domain\jeremy.reed,insufficient-content,The URL category is going to be allowed provided the user is authenticated,known-user,286
example_domain\jeremy.reed,financial-services,The URL category is going to be allowed provided the user is authenticated,known-user,240
example_domain\jeremy.reed,news,The URL category is going to be allowed provided the user is authenticated,known-user,189
example_domain\jeremy.reed,internet-portals,The URL category is going to be allowed provided the user is authenticated,known-user,146
